ID,Size,Maze Type,Orientation,Agent Type,Symmetry,Density,Dead Ends,Solution Path Length,Average Episodes
11x29_DFS_1,"(11, 29)",DFS,Vertical,Q-Determinative,0.11,0.56,8,46,183
11x29_DFS_1,"(11, 29)",DFS,Vertical,Q-Student,0.11,0.56,8,46,120
11x29_DFS_1,"(11, 29)",DFS,Vertical,Q-Explorer,0.11,0.56,8,46,300
11x29_DFS_2,"(11, 29)",DFS,Vertical,Q-Determinative,0.11,0.56,6,58,228
11x29_DFS_2,"(11, 29)",DFS,Vertical,Q-Student,0.11,0.56,6,58,145
11x29_DFS_2,"(11, 29)",DFS,Vertical,Q-Explorer,0.11,0.56,6,58,404
11x29_DFS_3,"(11, 29)",DFS,Vertical,Q-Determinative,0.11,0.56,7,18,69
11x29_DFS_3,"(11, 29)",DFS,Vertical,Q-Student,0.11,0.56,7,18,23
11x29_DFS_3,"(11, 29)",DFS,Vertical,Q-Explorer,0.11,0.56,7,18,121
11x31_AB_1,"(11, 31)",AldousBroder,Vertical,Q-Determinative,0.15,0.56,27,46,216
11x31_AB_1,"(11, 31)",AldousBroder,Vertical,Q-Student,0.15,0.56,27,46,76
11x31_AB_1,"(11, 31)",AldousBroder,Vertical,Q-Explorer,0.15,0.56,27,46,285
11x31_AB_2,"(11, 31)",AldousBroder,Vertical,Q-Determinative,0.15,0.56,20,32,130
11x31_AB_2,"(11, 31)",AldousBroder,Vertical,Q-Student,0.15,0.56,20,32,49
